,Stage,N_features,Score
0,Train,1,0.1175397586779986
1,Validation,1,0.1176565962276388
2,Train,2,0.1175397586779986
3,Validation,2,0.1176565962276388
4,Train,3,0.03914388790552503
5,Validation,3,0.03766956709722746
6,Train,4,0.03914388790552503
7,Validation,4,0.03766956709722746
8,Train,5,0.03914388790552503
9,Validation,5,0.03766956709722746
10,Train,6,0.039170911645880935
11,Validation,6,0.03766956709722746
12,Train,7,0.03914388790552503
13,Validation,7,0.03766956709722746
14,Train,8,0.03914388790552503
15,Validation,8,0.03766956709722746
16,Train,9,0.03914388790552503
17,Validation,9,0.03766956709722746
18,Train,10,0.03914388790552503
19,Validation,10,0.03766956709722746
20,Train,11,0.03914388790552503
21,Validation,11,0.03766956709722746
22,Train,12,0.03914388790552503
23,Validation,12,0.03766956709722746
24,Train,13,0.03914388790552503
25,Validation,13,0.03766956709722746
26,Train,14,0.03914388790552503
27,Validation,14,0.03766956709722746
28,Train,15,0.03914388790552503
29,Validation,15,0.03766956709722746
30,Train,16,0.03914388790552503
31,Validation,16,0.03766956709722746
32,Train,17,0.03914388790552503
33,Validation,17,0.03766956709722746
34,Train,18,0.03915739977570298
35,Validation,18,0.03783170296708638
36,Train,19,0.03915739977570298
37,Validation,19,0.03783170296708638
38,Train,20,0.03921144725641479
39,Validation,20,0.037939793546992395
40,Train,21,0.03919793538623684
41,Validation,21,0.037939793546992395
42,Train,22,0.03919793538623684
43,Validation,22,0.037939793546992395
44,Train,23,0.03919793538623684
45,Validation,23,0.037939793546992395
46,Train,24,0.03919793538623684
47,Validation,24,0.037939793546992395
48,Train,25,0.03919793538623684
49,Validation,25,0.037939793546992395
50,Train,26,0.03919793538623684
51,Validation,26,0.037939793546992395
52,Train,27,0.03919793538623684
53,Validation,27,0.037939793546992395
54,Train,28,0.03921144725641479
55,Validation,28,0.037939793546992395
56,Train,29,0.03925198286694864
57,Validation,29,0.037993838836945404
58,Train,30,0.039170911645880935
59,Validation,30,0.037939793546992395
60,Train,31,0.03910335229499118
61,Validation,31,0.037939793546992395
62,Train,32,0.03902228107392347
63,Validation,32,0.03756147651732156
64,Train,33,0.03903579294410142
65,Validation,33,0.037615521807274455
66,Train,34,0.03910335229499118
67,Validation,34,0.03772361238718047
68,Train,35,0.03910335229499118
69,Validation,35,0.03772361238718047
70,Train,36,0.03911686416516913
71,Validation,36,0.03766956709722746
72,Train,37,0.039062816684457324
73,Validation,37,0.03766956709722746
74,Train,38,0.038954721723033714
75,Validation,38,0.03783170296708638
76,Train,39,0.038954721723033714
77,Validation,39,0.03777765767713348
78,Train,40,0.039062816684457324
79,Validation,40,0.03777765767713348
